Course total (Real),Last downloaded from this course,Quiz: Voluntary Quiz (Real),Assignment: Assessment 1 (Real),Assignment: Assessment 2 (Real),Assignment: Assessment 3 (Real),Assignment: Assessment 4 (Real),Assignment: Oral Exam (Real)
74.83100000000002,0,24.29,55.9,67.5,79.45,98.65,73.04
67.5,0,100.0,80.75,48.56,55.03,43.73,74.97
79.57300000000001,0,74.74,85.31,97.41,58.9,88.92,78.13
75.602,0,64.04,81.4,91.19,81.84,71.17,72.48
86.32849999999999,0,73.92,65.76,87.17,47.49,87.28,93.61
67.58550000000001,0,81.4,78.69,76.12,71.01,87.42,61.84
79.13499999999999,0,69.41,81.14,86.55,60.75,58.91,83.78
71.989,0,72.26,34.02,67.77,69.89,98.65,71.78
77.2625,0,66.25,89.66,100.0,76.12,84.39,71.89
70.7375,0,74.77,81.14,91.19,79.05,94.02,61.93
79.5495,0,47.98,74.45,42.43,57.41,57.31,92.48
75.5335,0,76.39,82.23,62.58,62.35,57.33,81.84
60.568000000000005,0,64.42,74.17,73.9,100.0,62.35,51.13
71.286,0,55.03,74.37,81.14,81.4,68.99,68.33
57.344500000000004,0,67.44,100.0,30.61,72.39,88.1,51.13
66.87200000000001,0,69.79,72.48,54.99,67.44,44.13,71.68
70.4435,0,75.39,59.99,65.22,74.97,97.71,67.16
66.9515,0,71.78,71.68,100.0,61.93,99.1,57.33
68.0755,0,76.63,83.78,62.58,96.86,74.8,62.25
84.0155,0,66.31,62.37,51.13,74.74,62.35,95.5
75.68800000000002,0,67.5,94.72,30.61,62.58,88.92,81.14
68.0575,0,84.39,80.75,69.46,87.87,87.15,60.88
89.6165,0,63.06,82.11,57.1,71.89,76.12,100.0
93.4255,0,75.3,48.65,88.92,71.01,100.0,100.0
60.579,0,70.82,42.43,56.45,61.82,71.17,60.79
57.1845,0,87.28,68.53,66.25,69.89,71.11,50.82
72.89750000000001,0,54.99,57.1,68.27,82.11,63.13,74.91
63.995000000000005,0,100.0,57.41,40.13,62.58,54.25,69.89
74.99449999999999,0,60.79,57.31,88.1,79.05,68.33,74.74
62.98,0,56.78,65.88,71.58,61.93,100.0,55.9
79.0465,0,74.77,76.32,48.56,89.66,47.61,87.15
75.771,0,74.08,90.15,84.26,100.0,87.87,67.77
76.5775,0,56.45,74.74,69.73,72.48,88.1,76.63
82.953,0,72.39,68.99,86.44,73.9,68.22,87.15
47.101,0,100.0,42.43,51.61,65.76,71.58,40.13
73.00450000000001,0,100.0,66.13,81.84,70.59,24.29,80.04
50.17400000000001,0,77.43,63.06,100.0,79.05,70.03,34.02
64.4915,0,66.45,90.15,61.4,57.41,85.31,60.88
69.074,0,98.65,55.37,66.45,68.05,97.41,66.33
64.34549999999999,0,76.39,60.94,64.42,71.58,82.11,60.75
75.01599999999999,0,74.37,82.23,60.79,55.37,81.4,78.69
77.5885,0,42.43,90.59,87.17,88.1,74.97,73.9
82.17999999999999,0,48.56,65.76,55.37,47.49,84.94,92.48
73.69949999999999,0,34.02,47.98,62.58,36.1,74.89,82.99
65.37750000000001,0,62.37,69.46,47.61,56.15,53.72,71.01
92.846,0,58.9,73.92,42.4,100.0,99.1,100.0
58.334,0,63.06,68.05,87.42,51.13,75.3,51.61
82.257,0,48.65,40.48,47.38,90.1,53.72,94.02
80.06700000000001,0,86.55,71.89,71.01,64.04,81.14,84.39
71.4585,0,97.41,63.06,59.99,51.21,64.01,78.13
73.4355,0,80.04,74.74,67.16,71.89,99.1,70.59
77.99000000000001,0,74.8,68.33,59.99,57.41,85.52,83.51
89.44250000000001,0,61.91,83.51,88.1,74.97,73.92,94.72
82.1745,0,95.5,100.0,50.82,81.84,72.48,87.17
77.64000000000001,0,54.99,98.65,56.15,62.35,65.76,83.51
60.214,0,47.98,40.13,96.86,57.1,89.01,52.17
93.181,0,73.92,88.92,57.31,100.0,80.04,100.0
85.47149999999999,0,78.0,51.61,100.0,79.77,87.28,86.44
66.8,0,71.11,56.15,97.41,56.45,91.19,60.75
55.0895,0,69.73,61.82,80.5,62.25,67.77,47.61
84.1465,0,77.05,61.19,90.02,64.04,71.68,90.02
50.123,0,95.5,94.02,81.14,61.4,48.56,40.48
65.12049999999999,0,74.97,94.02,58.91,96.86,87.87,55.47
59.470499999999994,0,90.1,80.66,100.0,47.98,97.71,47.49
70.18699999999998,0,70.82,83.78,58.91,76.32,64.42,70.82
70.7535,0,92.48,87.44,82.11,65.76,60.75,70.03
60.888000000000005,0,62.35,87.15,78.13,73.04,78.67,51.61
68.5375,0,66.45,76.63,90.02,76.14,71.01,63.06
71.907,0,100.0,87.87,69.46,86.44,64.04,70.03
68.9245,0,90.02,94.02,48.56,87.44,60.79,68.53
85.77600000000001,0,76.12,94.72,42.84,61.29,90.59,94.72
59.169,0,76.14,100.0,66.82,42.43,61.29,57.1
87.055,0,69.79,47.61,74.99,50.1,86.54,97.71
74.56150000000001,0,100.0,70.03,78.67,69.73,87.44,73.04
61.822500000000005,0,60.94,74.08,100.0,67.77,60.79,54.25
65.8205,0,42.84,70.82,61.4,61.82,69.73,66.13
84.2725,0,54.25,98.65,42.4,66.25,99.1,90.1
72.71000000000001,0,82.23,65.88,94.72,70.59,63.58,71.58
76.4955,0,61.82,81.4,100.0,86.55,55.6,74.17
53.5355,0,80.75,64.62,97.41,64.04,80.75,40.13
87.8845,0,86.54,77.43,67.7,42.84,100.0,96.86
71.15499999999999,0,40.13,66.25,71.01,34.02,61.91,78.69
86.8925,0,57.41,66.67,89.01,78.69,67.16,92.42
70.1,0,57.33,62.35,57.33,78.0,71.89,71.17
89.4195,0,71.68,70.03,81.4,94.02,76.14,93.48
70.21199999999999,0,100.0,68.99,40.13,76.39,67.7,74.37
74.7705,0,87.15,53.72,77.05,62.58,69.73,78.69
54.590500000000006,0,86.55,57.41,65.22,78.67,97.71,42.4
54.0725,0,84.39,44.13,61.84,76.14,55.03,50.1
88.974,0,24.29,47.38,78.0,61.91,76.14,100.0
71.886,0,86.54,88.92,72.39,66.82,98.65,67.16
84.04299999999999,0,82.11,78.13,100.0,61.93,100.0,82.99
79.0635,0,56.78,78.13,98.65,97.71,65.76,75.3
80.042,0,75.39,80.5,62.58,79.45,50.82,87.28
54.343,0,79.77,55.03,78.13,44.13,77.43,48.65
76.50450000000001,0,47.49,76.14,83.51,63.58,81.14,76.73
58.074,0,48.65,77.05,66.45,74.08,62.58,52.17
62.8685,0,88.92,94.02,67.45,71.78,69.41,57.39
62.576,0,61.82,87.44,76.73,74.45,69.46,55.6
70.44,0,57.1,71.11,74.91,51.61,100.0,68.05
89.757,0,87.42,67.88,73.04,72.26,68.33,100.0
56.7055,0,52.17,55.6,81.14,73.9,50.7,51.31
67.77499999999999,0,57.31,75.42,80.5,51.31,73.9,66.82
58.145,0,74.77,69.46,57.39,74.45,43.73,57.1
67.76849999999999,0,73.9,62.35,93.48,44.13,57.41,69.46
64.6475,0,62.12,90.1,64.42,67.45,71.17,61.29
83.253,0,57.33,84.94,87.28,57.33,78.13,87.28
85.4045,0,94.72,72.26,42.84,74.74,65.22,97.71
57.143499999999996,0,75.39,75.3,60.94,40.48,42.43,59.99
72.5645,0,66.13,84.39,80.75,100.0,51.21,69.46
69.598,0,55.37,71.89,51.31,87.15,68.33,69.73
61.248999999999995,0,70.03,97.41,85.31,100.0,62.25,48.65
60.723,0,62.37,57.31,71.17,71.58,78.13,55.03
50.54600000000001,0,68.05,69.46,69.89,71.68,50.7,42.84
85.4775,0,62.12,67.7,87.87,94.02,67.88,87.87
85.479,0,78.0,64.04,90.15,57.41,92.42,89.66
79.554,0,89.01,97.41,77.05,42.43,60.88,87.15
63.900499999999994,0,67.5,86.54,67.88,70.82,84.39,57.33
74.9845,0,87.28,57.39,40.13,81.84,74.89,80.66
84.151,0,52.17,68.22,74.74,92.33,62.35,88.92
