Course total (Real),Last downloaded from this course,Quiz: Quiz 1 (Real),Quiz: Quiz 2 (Real),Quiz: Quiz 3 (Real),Quiz: Quiz 4 (Real),Quiz: Quiz 5 (Real),Quiz: Quiz 6 (Real),Quiz: Quiz 7 (Real),Quiz: Quiz 8 (Real),Quiz: Quiz 9 (Real),Quiz: Quiz 10 (Real),Lab activities (Lab 1-8) (Real),Assignment: Assessment 1 (Real),Assignment: Assessment 2 (Real),Final Exam (Real)
64.608925,0,58.79,52.9,73.33,70.78,69.81,79.17,88.41,45.46,73.33,69.09,80.05,35.29,65.66,73.33
66.73657499999999,0,89.66,64.88,67.69,60.5,84.02,74.86,58.79,74.86,80.29,52.88,82.98,53.5,89.66,64.57
47.632149999999996,0,60.62,77.48,82.98,100.0,55.71,73.65,60.5,71.47,82.98,55.97,63.01,4.09,73.65,53.98
55.551824999999994,0,75.08,87.41,84.02,47.71,95.27,60.62,69.61,79.17,56.22,88.72,55.71,47.71,69.13,53.98
60.70585,0,52.88,79.93,97.32,97.32,52.9,82.74,57.22,64.82,63.01,37.4,56.06,37.4,78.31,63.94
67.17850000000001,0,82.89,60.5,74.86,84.02,84.77,89.66,84.77,55.97,59.44,68.52,74.86,55.97,69.09,69.81
61.386399999999995,0,87.39,68.52,55.71,72.23,79.14,57.22,64.82,87.51,53.5,54.62,80.29,68.57,49.33,60.94
67.23887500000001,0,95.93,72.13,61.93,56.87,64.88,73.33,63.97,61.93,85.91,55.97,4.09,79.14,50.19,70.08
73.82905,0,82.74,57.22,54.62,55.71,92.06,64.68,73.65,53.98,68.52,67.34,58.79,53.91,60.5,84.71
75.07765,0,82.98,79.93,72.13,63.01,64.68,26.55,69.61,53.98,52.88,55.71,89.66,78.35,74.15,74.15
73.579925,0,52.88,67.69,72.23,78.31,53.5,77.48,70.5,74.15,73.65,59.38,64.88,79.17,69.51,73.33
81.974275,0,49.33,53.98,56.87,53.98,64.82,75.08,82.74,73.65,63.94,57.22,72.79,84.71,79.93,82.74
64.65227499999999,0,26.55,79.14,64.82,63.01,52.9,61.93,57.67,64.82,56.87,37.4,54.62,73.33,70.96,60.94
68.501025,0,59.38,79.17,82.89,44.25,51.76,26.55,72.79,55.71,78.35,89.66,44.25,67.69,69.13,69.81
73.126225,0,60.5,52.9,79.93,70.96,49.33,61.93,66.58,93.52,83.81,95.93,79.93,74.86,63.01,74.86
68.860775,0,56.06,73.65,55.97,52.88,55.97,70.78,58.1,79.14,75.08,66.58,63.01,78.31,70.78,65.66
79.875225,0,67.34,87.41,75.08,64.57,63.01,82.98,35.29,46.12,84.02,68.57,50.19,95.27,69.31,79.14
80.65324999999999,0,75.08,97.32,62.68,79.93,64.57,84.71,80.05,66.16,46.12,52.88,70.5,78.31,56.06,88.41
73.81392500000001,0,69.09,100.0,26.55,56.67,87.51,77.48,69.09,52.9,80.29,58.79,64.68,58.1,60.62,82.98
50.412475,0,72.13,73.65,87.51,71.47,82.89,63.01,56.87,52.88,82.74,67.34,84.77,57.67,92.06,35.29
74.20904999999999,0,66.58,82.89,72.79,69.13,68.52,72.23,69.61,79.93,68.52,60.62,37.4,84.77,97.3,66.58
66.60992499999999,0,70.96,80.05,63.94,95.27,73.65,95.93,93.52,63.01,49.33,69.51,66.16,64.57,66.16,67.05
39.840625,0,73.33,52.9,95.27,84.77,80.29,88.72,63.94,63.94,89.66,69.13,47.71,63.94,53.5,26.55
58.630449999999996,0,92.06,88.41,59.44,53.91,60.5,84.77,78.31,57.22,67.34,60.62,93.52,66.58,77.48,49.33
66.91645,0,63.94,97.3,57.22,72.23,78.31,90.93,56.06,35.29,82.98,60.62,82.89,79.93,54.62,64.88
50.72165,0,63.01,90.93,90.93,87.41,52.88,45.46,72.79,59.44,59.38,61.93,67.05,68.57,82.98,35.29
71.917125,0,4.09,90.93,53.98,77.48,57.22,87.41,61.93,70.78,78.31,64.82,85.91,52.88,62.68,80.29
71.3761,0,97.32,56.67,26.55,69.51,56.87,80.05,84.71,4.09,56.87,60.5,63.97,88.72,77.48,64.88
70.7541,0,64.88,88.72,57.22,67.69,60.62,82.89,60.62,70.5,74.15,78.35,57.22,92.06,63.01,66.16
51.2238,0,49.33,45.46,51.76,61.93,56.06,58.1,53.5,62.68,97.32,52.88,72.23,55.97,44.25,50.19
56.81139999999999,0,60.62,70.96,59.38,63.01,44.43,67.34,37.4,53.5,56.22,100.0,26.55,72.13,90.93,44.25
56.94105,0,50.19,67.05,49.33,63.01,89.66,79.14,64.57,87.39,4.09,72.79,70.96,84.77,66.58,44.43
55.15112499999999,0,70.5,69.13,64.68,65.66,49.33,56.67,73.65,70.5,69.13,70.5,95.93,67.05,44.25,51.76
57.631150000000005,0,71.47,68.57,37.4,66.16,87.41,55.97,44.25,84.71,50.19,73.33,82.74,70.5,51.76,53.5
73.29152500000001,0,56.67,54.62,79.17,69.13,70.78,60.94,77.48,67.05,87.51,51.76,88.41,70.96,67.69,75.08
66.2344,0,84.71,69.81,85.91,56.22,52.9,4.09,72.79,78.35,70.96,56.22,100.0,69.61,69.51,63.01
66.054075,0,95.93,52.88,87.51,74.86,56.06,66.16,79.17,73.65,79.93,52.88,56.06,46.12,60.94,74.15
65.496175,0,51.76,55.97,82.98,72.23,67.69,69.09,69.81,53.98,26.55,84.71,82.89,65.66,45.46,69.81
53.17807499999999,0,84.02,69.09,83.81,83.81,72.13,53.98,4.09,64.82,44.43,74.15,53.91,47.71,55.71,53.91
62.642549999999986,0,52.9,52.88,73.65,66.58,35.29,92.06,63.94,92.06,95.27,80.29,44.43,61.93,72.13,60.94
84.32650000000001,0,63.94,63.94,69.81,83.81,68.57,53.5,53.98,78.35,58.1,100.0,56.22,90.93,51.76,92.06
81.3215,0,67.34,62.68,50.19,67.69,67.34,53.5,87.51,74.86,77.48,69.61,93.52,57.67,88.72,87.41
66.1819,0,37.4,44.43,70.5,69.09,35.29,97.32,82.74,49.33,55.97,87.39,55.97,69.13,70.5,64.68
63.088975,0,83.81,87.41,53.5,82.89,70.5,53.91,69.61,82.74,53.91,83.81,4.09,54.62,4.09,82.74
68.59605,0,80.05,56.22,70.78,70.5,52.88,89.66,60.5,58.79,52.9,82.74,65.66,72.13,60.5,69.61
72.052575,0,60.62,63.94,70.78,58.79,61.93,88.72,93.52,66.16,55.71,92.06,37.4,68.57,70.5,75.08
76.6377,0,64.82,95.93,46.12,60.5,70.08,37.4,88.72,70.96,63.94,69.81,53.5,72.13,84.77,77.48
67.912675,0,51.76,69.81,79.14,87.51,63.94,69.31,67.34,69.61,4.09,51.76,88.72,87.41,52.9,64.57
63.323724999999996,0,4.09,56.67,87.41,87.39,77.48,67.34,87.41,64.57,84.02,83.81,74.15,68.52,63.01,60.94
69.595675,0,71.47,56.06,65.66,64.82,68.57,51.76,70.5,88.72,85.91,100.0,64.68,63.94,100.0,63.97
81.94572500000001,0,70.5,52.88,53.98,60.62,88.41,47.71,53.5,60.5,71.47,93.52,100.0,69.31,58.1,92.06
